account_name,pe_firm,pe_firm_id,pe_hq_city,pe_hq_region,pe_list_role,pe_multi_sector,investment_status,description,region,strategy,website,sources,source_urls,company_url,wikipedia_url,firm_portfolio_url
A Place for Mom,Silver Lake,silver-lake,San Mateo,San Francisco Bay Area,featured,no,current,,,,,official_site,https://www.silverlake.com/wp-json/wp/v2/portfolio,https://www.silverlake.com/portfolio/a-place-for-mom/,,https://www.silverlake.com/portfolio/
Achievers,Silver Lake,silver-lake,San Mateo,San Francisco Bay Area,featured,no,current,,,,,official_site,https://www.silverlake.com/wp-json/wp/v2/portfolio,https://www.silverlake.com/portfolio/achievers/,,https://www.silverlake.com/portfolio/
Airbnb,Silver Lake,silver-lake,San Mateo,San Francisco Bay Area,featured,no,current,,,,,official_site|wikipedia|geig_article,https://www.silverlake.com/wp-json/wp/v2/portfolio|https://en.wikipedia.org/wiki/Airbnb|https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,https://www.silverlake.com/portfolio/airbnb-2/,https://en.wikipedia.org/wiki/Airbnb,https://www.silverlake.com/portfolio/
Airtable,Silver Lake,silver-lake,San Mateo,San Francisco Bay Area,featured,no,current,,,,,official_site,https://www.silverlake.com/wp-json/wp/v2/portfolio,https://www.silverlake.com/portfolio/airtable/,,https://www.silverlake.com/portfolio/
Alchemy,Silver Lake,silver-lake,San Mateo,San Francisco Bay Area,featured,no,current,,,,,official_site,https://www.silverlake.com/wp-json/wp/v2/portfolio,https://www.silverlake.com/portfolio/alchemy/,,https://www.silverlake.com/portfolio/
Alibaba Group,Silver Lake,silver-lake,San Mateo,San Francisco Bay Area,featured,no,current,,,,,official_site|wikipedia,https://www.silverlake.com/wp-json/wp/v2/portfolio|https://en.wikipedia.org/wiki/Alibaba_Group,https://www.silverlake.com/portfolio/alibaba-group/,https://en.wikipedia.org/wiki/Alibaba_Group,https://www.silverlake.com/portfolio/
Allyes,Silver Lake,silver-lake,San Mateo,San Francisco Bay Area,featured,no,current,,,,,official_site,https://www.silverlake.com/wp-json/wp/v2/portfolio,https://www.silverlake.com/portfolio/allyes/,,https://www.silverlake.com/portfolio/
Altera,Silver Lake,silver-lake,San Mateo,San Francisco Bay Area,featured,no,current,,,,,official_site|wikipedia,https://www.silverlake.com/wp-json/wp/v2/portfolio|https://en.wikipedia.org/wiki/Altera,https://www.silverlake.com/portfolio/altera/,https://en.wikipedia.org/wiki/Altera,https://www.silverlake.com/portfolio/
AMC,Silver Lake,silver-lake,San Mateo,San Francisco Bay Area,featured,no,current,,,,,official_site,https://www.silverlake.com/wp-json/wp/v2/portfolio,https://www.silverlake.com/portfolio/amc/,,https://www.silverlake.com/portfolio/
Ancestry,Silver Lake,silver-lake,San Mateo,San Francisco Bay Area,featured,no,current,,,,,official_site,https://www.silverlake.com/wp-json/wp/v2/portfolio,https://www.silverlake.com/portfolio/ancestry/,,https://www.silverlake.com/portfolio/
Ant Group,Silver Lake,silver-lake,San Mateo,San Francisco Bay Area,featured,no,current,,,,,official_site|wikipedia|geig_article,https://www.silverlake.com/wp-json/wp/v2/portfolio|https://en.wikipedia.org/wiki/Ant_Group|https://growthequityinterviewguide.com/private-equity/private-equity-primer/technology-private-equity-firms,https://www.silverlake.com/portfolio/ant-group/,https://en.wikipedia.org/wiki/Ant_Group,https://www.silverlake.com/portfolio/
Aras,Silver Lake,silver-lake,San Mateo,San Francisco Bay Area,featured,no,current,,,,,official_site,https://www.silverlake.com/wp-json/wp/v2/portfolio,https://www.silverlake.com/portfolio/aras/,,https://www.silverlake.com/portfolio/
Australian Professional Leagues,Silver Lake,silver-lake,San Mateo,San Francisco Bay Area,featured,no,current,,,,,official_site,https://www.silverlake.com/wp-json/wp/v2/portfolio,https://www.silverlake.com/portfolio/australian-professional-leagues/,,https://www.silverlake.com/portfolio/
