account_name,pe_firm_count,pe_firms,pe_firm_ids,any_multi_sector_sponsor,sources,company_url,wikipedia_url
Ancestry,3,Permira | Silver Lake | Spectrum Equity,permira|silver-lake|spectrum-equity,yes,official_site,https://www.silverlake.com/portfolio/ancestry/,
Barracuda Networks,3,Francisco Partners | KKR | Thoma Bravo,francisco-partners|kkr|thoma-bravo,yes,official_site|wikipedia,https://www.franciscopartners.com/investments/barracuda-networks,https://en.wikipedia.org/wiki/Barracuda_Networks
Enverus,3,Accel-KKR | Genstar Capital | Hellman & Friedman,accel-kkr|genstar-capital|hellman-friedman,yes,official_site,https://hf.com/portfolio/enverus/,
GoodRx,3,Francisco Partners | Silver Lake | Spectrum Equity,francisco-partners|silver-lake|spectrum-equity,no,geig_article|official_site|wikipedia,https://www.silverlake.com/portfolio/goodrx/,https://en.wikipedia.org/wiki/GoodRx
Internet Brands,3,Hellman & Friedman | KKR | Warburg Pincus,hellman-friedman|kkr|warburg-pincus,yes,official_site|wikipedia,https://hf.com/portfolio/internet-brands-inc/,https://en.wikipedia.org/wiki/Internet_Brands
Metropolis Healthcare,3,Carlyle | KKR | Warburg Pincus,carlyle|kkr|warburg-pincus,yes,wikipedia,https://en.wikipedia.org/wiki/Metropolis_Healthcare,https://en.wikipedia.org/wiki/Metropolis_Healthcare
Nasdaq,3,Hellman & Friedman | Silver Lake | Thoma Bravo,hellman-friedman|silver-lake|thoma-bravo,no,geig_article|official_site,https://www.silverlake.com/portfolio/nasdaq/,
Norstella,3,"Hg | Warburg Pincus | Welsh, Carson, Anderson & Stowe",hg|warburg-pincus|wcas,yes,official_site,https://warburgpincus.com/investments/norstella/,
TDC Holding A/S,3,Blackstone | KKR | Permira,blackstone|kkr|permira,yes,wikipedia,https://en.wikipedia.org/wiki/TDC_Holding_A/S,https://en.wikipedia.org/wiki/TDC_Holding_A/S
TeamSystem,3,Hellman & Friedman | Hg | Silver Lake,hellman-friedman|hg|silver-lake,no,official_site,https://www.silverlake.com/portfolio/teamsystem/,
7 Days Inn,2,Carlyle | Warburg Pincus,carlyle|warburg-pincus,yes,wikipedia,https://en.wikipedia.org/wiki/7_Days_Inn,https://en.wikipedia.org/wiki/7_Days_Inn
