account_name,pe_firm_count,pe_firms,pe_firm_ids,any_multi_sector_sponsor,any_current,website,sources,company_url,wikipedia_url
Accruent,2,Genstar Capital | Vista Equity Partners,genstar-capital|vista-equity,yes,yes,,official_site,https://www.vistaequitypartners.com/company/accruent/,
Ancestry,2,Permira | Silver Lake,permira|silver-lake,yes,yes,,official_site,https://www.silverlake.com/portfolio/ancestry/,
Applied Systems,2,Hellman & Friedman | Vista Equity Partners,hellman-friedman|vista-equity,no,yes,,official_site,https://hf.com/portfolio/applied-systems-inc/,
Bullhorn,2,Genstar Capital | Vista Equity Partners,genstar-capital|vista-equity,yes,yes,,official_site|wikipedia,https://www.vistaequitypartners.com/company/bullhorn/,https://en.wikipedia.org/wiki/Bullhorn%2C_Inc.
Carta,2,Permira | Silver Lake,permira|silver-lake,yes,yes,,official_site,https://www.silverlake.com/portfolio/carta/,
Ellucian,2,Hellman & Friedman | Vista Equity Partners,hellman-friedman|vista-equity,no,yes,,official_site,https://hf.com/portfolio/ellucian-inc/,
Enverus,2,Genstar Capital | Hellman & Friedman,genstar-capital|hellman-friedman,yes,yes,,official_site,https://hf.com/portfolio/enverus/,
ESO,2,Accel-KKR | Vista Equity Partners,accel-kkr|vista-equity,no,yes,https://www.eso.com,official_site,https://www.accel-kkr.com/portfolio-company/eso/,
Klarna,2,Silver Lake | Vista Equity Partners,silver-lake|vista-equity,no,yes,,official_site,https://www.silverlake.com/portfolio/klarna/,
Splunk,2,Hellman & Friedman | Silver Lake,hellman-friedman|silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/splunk-2/,
TeamSystem,2,Hellman & Friedman | Silver Lake,hellman-friedman|silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/teamsystem/,
Vertafore,2,Hellman & Friedman | Vista Equity Partners,hellman-friedman|vista-equity,no,yes,,official_site,https://hf.com/portfolio/vertafore-inc/,
2-10 Home Buyers Warranty,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
365 Retail Markets,1,Providence Equity Partners,providence-equity,yes,yes,,official_site,,
4human,1,Accel-KKR,accel-kkr,no,yes,https://4human.no,official_site,https://www.accel-kkr.com/portfolio-company/4human/,
8am,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
A Place for Mom,1,Silver Lake,silver-lake,no,yes,,official_site,https://www.silverlake.com/portfolio/a-place-for-mom/,
A2MAC1,1,Providence Equity Partners,providence-equity,yes,yes,,official_site,,
ABRA Auto Body & Glass,1,Hellman & Friedman,hellman-friedman,no,yes,,official_site,https://hf.com/portfolio/abra/,
Abracon,1,Genstar Capital,genstar-capital,yes,yes,,official_site,,
